,loss,top1_acc,top5_acc
0,,10.0,56.25
0,,7.5,51.25
0,,8.75,43.75
0,,12.5,57.5
0,,8.75,45.0
0,,6.25,50.0
0,,7.5,50.0
0,,10.0,53.75
0,,16.25,52.5
0,,15.0,41.25
